u, v
0.0, 0.0
0.18374231032624158, 0.0
0.36748462065248316, 0.0
0.5512269309787248, 0.0
0.7349692413049663, 0.0
0.9187115516312079, 0.0
1.1024538619574495, 0.0
1.2861961722836912, 0.0
1.4699384826099327, 0.0
1.6536807929361743, 0.0
1.8374231032624158, 0.0
2.0211654135886574, 0.0
2.204907723914899, 0.0
2.3886500342411408, 0.0
2.5723923445673824, 0.0
2.7561346548936236, 0.0
2.9398769652198653, 0.0
3.123619275546107, 0.0
3.3073615858723486, 0.0
3.4911038961985903, 0.0
3.6748462065248315, 0.0
3.8585885168510736, 0.0
4.042330827177315, 0.0
4.2260731375035565, 0.0
-0.09187115516312076, 0.159125508492569
-0.18374231032624153, 0.318251016985138
-0.2756134654893623, 0.47737652547770704
-0.36748462065248305, 0.636502033970276
-0.4593557758156038, 0.7956275424628451
-0.5512269309787245, 0.9547530509554141
-0.6430980861418453, 1.1138785594479832
-0.7349692413049661, 1.273004067940552
-0.8268403964680867, 1.432129576433121
-0.9187115516312075, 1.5912550849256901
-1.0105827067943285, 1.7503805934182592
-1.102453861957449, 1.9095061019108281
-1.1943250171205697, 2.068631610403397
-1.2861961722836905, 2.2277571188959664
-1.3780673274468114, 2.3868826273885353
-1.4699384826099322, 2.546008135881104
-1.5618096377730528, 2.705133644373673
-1.6536807929361734, 2.864259152866242
-1.7455519480992943, 3.0233846613588113
-1.837423103262415, 3.1825101698513802
-1.9292942584255361, 3.3416356783439496
-2.021165413588657, 3.5007611868365185
-2.1130365687517774, 3.6598866953290874
-0.09187115516312087, -0.15912550849256893
-0.18374231032624175, -0.31825101698513786
-0.27561346548936266, -0.4773765254777069
-0.3674846206524835, -0.6365020339702757
-0.45935577581560433, -0.7956275424628447
-0.5512269309787253, -0.9547530509554139
-0.6430980861418462, -1.1138785594479828
-0.734969241304967, -1.2730040679405514
-0.8268403964680879, -1.4321295764331206
-0.9187115516312087, -1.5912550849256895
-1.0105827067943296, -1.7503805934182584
-1.1024538619574507, -1.9095061019108277
-1.1943250171205715, -2.0686316104033966
-1.2861961722836923, -2.2277571188959655
-1.378067327446813, -2.386882627388534
-1.469938482609934, -2.546008135881103
-1.5618096377730548, -2.7051336443736727
-1.6536807929361759, -2.864259152866241
-1.7455519480992967, -3.02338466135881
-1.8374231032624173, -3.182510169851379
-1.9292942584255388, -3.3416356783439483
-2.021165413588659, -3.5007611868365167
-2.11303656875178, -3.6598866953290856
